Domain,Job_Level,Education_Score,Skills_Score,Experience_Score,Certification_Score,Domain_Score,Overall_Score,Dynamic_Final_Score,Education_Weight,Skills_Weight,Experience_Weight,Certification_Weight,Domain_Weight
Apparel,Senior-level,4.0,7.0,7.0,0.0,6.0,5.0,5.7,0.15,0.25,0.35,0.1,0.15
Apparel,Senior-level,8.0,9.0,9.0,0.0,9.0,8.0,7.95,0.15,0.25,0.35,0.1,0.15
Apparel,Senior-level,8.0,9.0,8.0,0.0,9.0,8.0,7.6,0.15,0.25,0.35,0.1,0.15
Apparel,Senior-level,8.0,8.0,7.0,0.0,7.0,7.0,6.7,0.15,0.25,0.35,0.1,0.15
Apparel,Senior-level,7.0,8.0,9.0,3.0,8.0,7.0,7.7,0.15,0.25,0.35,0.1,0.15
Apparel,Senior-level,7.0,8.0,8.0,0.0,7.0,7.0,6.9,0.15,0.25,0.35,0.1,0.15
Apparel,Senior-level,8.0,9.0,9.0,0.0,10.0,8.0,8.1,0.15,0.25,0.35,0.1,0.15
Apparel,Mid-level,6.0,7.0,7.0,0.0,8.0,6.0,6.25,0.15,0.3,0.35,0.1,0.1
Apparel,Senior-level,9.0,8.0,9.0,0.0,10.0,9.0,8.0,0.15,0.25,0.35,0.1,0.15
Apparel,Senior-level,5.0,7.0,8.0,0.0,7.0,7.0,6.35,0.15,0.25,0.35,0.1,0.15
Apparel,Mid-level,6.0,8.0,7.0,0.0,6.0,6.0,6.35,0.15,0.3,0.35,0.1,0.1
Apparel,Entry-level,4.0,6.0,5.0,0.0,5.0,5.0,4.6,0.25,0.35,0.2,0.1,0.1
Apparel,Senior-level,8.0,9.0,9.0,6.0,9.0,8.0,8.55,0.15,0.25,0.35,0.1,0.15
Apparel,Senior-level,8.0,9.0,8.0,6.0,9.0,8.0,8.2,0.15,0.25,0.35,0.1,0.15
Apparel,Senior-level,7.0,8.0,9.0,0.0,8.0,8.0,7.4,0.15,0.25,0.35,0.1,0.15
Apparel,Senior-level,7.0,8.0,9.0,0.0,8.0,8.0,7.4,0.15,0.25,0.35,0.1,0.15
Apparel,Senior-level,8.0,7.0,8.0,0.0,8.0,7.0,6.95,0.15,0.25,0.35,0.1,0.15
Apparel,Senior-level,6.0,5.0,4.0,2.0,3.0,4.0,4.2,0.15,0.25,0.35,0.1,0.15
Apparel,Senior-level,6.0,8.0,7.0,0.0,7.0,6.0,6.4,0.15,0.25,0.35,0.1,0.15
Apparel,Senior-level,7.0,9.0,8.0,0.0,7.0,7.0,7.15,0.15,0.25,0.35,0.1,0.15
Apparel,Senior-level,2.0,3.0,6.0,0.0,1.0,3.0,3.3,0.15,0.25,0.35,0.1,0.15
Research Assistant,Entry-level,9.0,8.0,7.0,0.0,8.0,7.0,7.85,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,7.0,6.0,0.0,7.0,7.0,6.9,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,9.0,9.0,8.0,0.0,10.0,9.0,8.5,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,9.0,8.0,0.0,9.0,8.0,8.0,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,9.0,10.0,9.0,8.0,10.0,9.0,9.35,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,9.0,8.0,7.0,0.0,8.0,7.0,7.85,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,7.0,8.0,6.0,0.0,5.0,6.0,6.6,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,9.0,9.0,8.0,7.0,8.0,8.0,8.65,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,9.0,8.0,7.0,0.0,9.0,8.0,7.95,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,7.0,6.0,5.0,6.0,6.0,7.05,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,7.0,6.0,5.0,7.0,7.0,7.15,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,9.0,8.0,0.0,9.0,8.0,8.0,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,6.0,7.0,7.0,5.0,6.0,6.0,6.4,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,9.0,8.0,7.0,6.0,8.0,7.0,8.15,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,7.0,6.0,7.0,7.0,7.0,7.25,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,7.0,6.0,0.0,7.0,6.0,6.9,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,6.0,7.0,7.0,5.0,6.0,6.0,6.4,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,9.0,8.0,7.0,6.0,8.0,8.0,8.15,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,10.0,9.0,8.0,0.0,9.0,8.0,8.8,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,7.0,7.0,0.0,8.0,7.0,7.15,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,10.0,10.0,8.0,0.0,10.0,9.0,9.2,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,9.0,8.0,9.0,0.0,9.0,8.0,8.25,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,9.0,8.0,7.0,0.0,9.0,8.0,7.95,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,7.0,7.0,0.0,8.0,7.0,7.15,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,9.0,8.0,7.0,6.0,8.0,8.0,8.15,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,9.0,7.0,0.0,8.0,7.0,7.75,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,7.0,7.0,8.0,7.0,7.0,7.45,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,7.0,7.0,6.0,7.0,7.0,7.35,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,8.0,7.0,4.0,8.0,7.0,7.65,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,7.0,6.0,0.0,7.0,7.0,6.9,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,7.0,8.0,7.0,0.0,7.0,7.0,6.95,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,7.0,8.0,7.0,6.0,8.0,7.0,7.35,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,9.0,7.0,6.0,8.0,8.0,8.05,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,9.0,8.0,8.0,0.0,9.0,8.0,8.1,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,9.0,8.0,8.0,6.0,9.0,8.0,8.4,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,9.0,8.0,7.0,0.0,8.0,8.0,7.85,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,7.0,8.0,6.0,0.0,7.0,6.0,6.8,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,9.0,8.0,7.0,8.0,8.0,8.25,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,7.0,6.0,7.0,8.0,7.0,7.35,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,7.0,8.0,6.0,7.0,8.0,7.0,7.25,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,8.0,7.0,0.0,8.0,7.0,7.45,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,9.0,8.0,8.0,0.0,9.0,8.0,8.1,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,9.0,9.0,8.0,0.0,9.0,8.0,8.4,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,7.0,8.0,0.0,9.0,8.0,7.4,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,9.0,8.0,0.0,9.0,8.0,8.0,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,8.0,7.0,6.0,8.0,7.0,7.75,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,9.0,8.0,8.0,7.0,9.0,8.0,8.45,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,9.0,8.0,7.0,0.0,8.0,8.0,7.85,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,9.0,9.0,8.0,0.0,10.0,8.5,8.5,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,9.0,8.0,7.0,0.0,8.0,8.0,7.85,0.4,0.3,0.15,0.05,0.1
Research Assistant,Entry-level,8.0,8.0,7.0,0.0,9.0,8.0,7.55,0.4,0.3,0.15,0.05,0.1
